name,rating,user_ratings_total,address,price_level,url
Tinman Turkish Restaurant,4.7,52,"357 Smith St, Fitzroy VIC 3065, Australia",2,https://maps.google.com/?cid=3047765854900680662
Khabbay Restaurant,4.7,469,"645 Rathdowne St, Carlton North VIC 3054, Australia",,https://maps.google.com/?cid=15484621612592221694
Fitzroy Kebab House(Mio Locale),4.7,69,"465 Brunswick St, Fitzroy North VIC 3068, Australia",,https://maps.google.com/?cid=10003237315531003629
Lagotto,4.7,48,"1 York St, Fitzroy North VIC 3068, Australia",,https://maps.google.com/?cid=8735470258792920135
The Recreation Bistro x Bottleshop,4.7,126,"162-170 Queens Parade, Fitzroy North VIC 3068, Australia",2,https://maps.google.com/?cid=2253946477115565971
Little Andorra,4.7,86,"555 Nicholson St, Carlton North VIC 3054, Australia",2,https://maps.google.com/?cid=7243097249363838597
Tarantini Ristorante Pizzeria,4.7,107,"157 Queens Parade, Clifton Hill VIC 3068, Australia",,https://maps.google.com/?cid=18137563060383889030
Little Africa Restaurant,4.7,231,"358 Victoria St, North Melbourne VIC 3051, Australia",1,https://maps.google.com/?cid=15300966978188222945
Don Camillo Restaurant,4.7,66,"215 Victoria St, West Melbourne VIC 3003, Australia",2,https://maps.google.com/?cid=2362065279612877912
Sassy.x Restaurant & Bar,4.7,45,"9 Dryburgh St, West Melbourne VIC 3003, Australia",,https://maps.google.com/?cid=4135462339919148181
The Abyssinian Restaurant,4.7,361,"277 Racecourse Rd, Kensington VIC 3031, Australia",2,https://maps.google.com/?cid=10457607226609756716
Saxe,4.7,155,"211 Queen St, Melbourne VIC 3000, Australia",2,https://maps.google.com/?cid=3543356085337410670
Hunters' Roots,4.7,104,"26 Katherine Pl, Melbourne VIC 3000, Australia",,https://maps.google.com/?cid=10316626207247824627
Pizza Forno,4.7,63,"153 Kings Way, Southbank VIC 3006, Australia",,https://maps.google.com/?cid=4735263527351097208
Ciel Café,4.7,159,"48 Cecil St, Southbank VIC 3006, Australia",,https://maps.google.com/?cid=1172354210358995632
Eau De Vie,4.7,1018,"1 Malthouse Ln, Melbourne VIC 3000, Australia",3,https://maps.google.com/?cid=13696679238521564748
Noda Grill,4.7,124,"144 Bridge Rd, Richmond VIC 3121, Australia",2,https://maps.google.com/?cid=11359269832716218104
Tofu Shop International,4.7,137,"78 Bridge Rd, Richmond VIC 3121, Australia",2,https://maps.google.com/?cid=1198906108584618926
Black Gold,4.7,181,"285 Lennox St, Richmond VIC 3121, Australia",2,https://maps.google.com/?cid=8690397551530183311
Demitri's Feast,4.7,136,"141 Swan St, Richmond VIC 3121, Australia",2,https://maps.google.com/?cid=11878462994011217093
Epocha Restaurant,4.6,223,"49 Rathdowne St, Carlton VIC 3053, Australia",3,https://maps.google.com/?cid=12991507490394512450
Cutler & Co,4.6,416,"55/57 Gertrude St, Fitzroy VIC 3065, Australia",4,https://maps.google.com/?cid=6015948217609092005
Charcoal Lane,4.6,206,"136 Gertrude St, Fitzroy VIC 3065, Australia",3,https://maps.google.com/?cid=13218309820774464234
Project Forty Nine,4.6,121,"107 Cambridge St, Collingwood VIC 3066, Australia",2,https://maps.google.com/?cid=1593286595396166263
Papirica,4.6,111,"22 Smith St, Collingwood VIC 3066, Australia",2,https://maps.google.com/?cid=12655112637389112459
Mollie's Bar & Diner,4.6,303,"103 Smith St, Fitzroy VIC 3065, Australia",1,https://maps.google.com/?cid=12411966132320255410
IDES,4.6,165,"92 Smith St, Collingwood VIC 3066, Australia",3,https://maps.google.com/?cid=1806496717588377525
Marimo Sushi,4.6,46,"73A Rupert St, Collingwood VIC 3066, Australia",,https://maps.google.com/?cid=5351111142285063270
Cromwell STREAT,4.6,342,"66 Cromwell St, Collingwood VIC 3066, Australia",2,https://maps.google.com/?cid=13163873751033632116
Aka Siro,4.6,309,"106 Cambridge St, Collingwood VIC 3066, Australia",2,https://maps.google.com/?cid=12682296215167969337
Keboo,4.6,92,"126 Smith St, Collingwood VIC 3066, Australia",,https://maps.google.com/?cid=3156916976890174105
