Name,Rating,Number of Reviews,Ranking,Address,Website,Type,Tag
Francescos Osteria,4.6,83,381.8,"146b Henley Beach Rd, Torrensville SA 5031, Australia",http://www.francescososteria.com/,Restaurant,Italian
Hey Bianca Pizza,4.6,77,354.2,"254 Pulteney St, Adelaide SA 5000, Australia",http://www.heybianca.com.au/,Restaurant,
Kin Thai,4.5,77,346.5,"255 Waymouth St, Adelaide SA 5000, Australia",http://www.facebook.com/kinthaiadelaide,Restaurant,Thailand
Koyeosa,4.9,70,343,"449 Pulteney St, Adelaide SA 5000, Australia",,Restaurant,Korean Cuisine
NAGOMI Japanese Kitchen,4.5,76,342,"Shop5/242 Hutt St, Adelaide SA 5000, Australia",https://www.nagomijapanesekitchen.com.au/,Restaurant,Japanese
Little Korea,4.7,65,305.5,"61-65 Hyde St, Adelaide SA 5000, Australia",https://www.facebook.com/littlekoreaadl/,Restaurant,Korean Cuisine
Hutt Street Chicken and Seafood,4.5,67,301.5,"188 Hutt St, Adelaide SA 5000, Australia",https://www.huttstchickenandseafood.com.au/,Restaurant,Take away
Johnny's Kitchen,4.7,61,286.7,"56 Glen Osmond Rd, Parkside SA 5063, Australia",https://www.johnnyskitchen.com.au/,Restaurant,Indian
The Messy Tomato,4.7,60,282,"151 Flinders St, Adelaide SA 5000, Australia",http://www.messytomato.com.au/,Restaurant,Italian
Kutchi Deli Parwana,4.7,60,282,"7 Ebenezer Pl, Adelaide SA 5000, Australia",https://www.parwana.com.au/kutchi/home/,Restaurant,fghan
The Flying Trunk,4.7,60,282,"70 King William Rd, Goodwood SA 5034, Australia",https://www.theflyingtrunk.com.au/,Bar,cocktail
Candela Latin American Food,4.6,61,280.6,"120 Goodwood Rd, Goodwood SA 5034, Australia",,Restaurant,Latin American
Sylvia's Deli,4.5,61,274.5,"48 Everard Ave, Keswick SA 5035, Australia",,Restaurant,Deli
Metro Oyster Bar,4.6,59,271.4,"27 Field St, Adelaide SA 5000, Australia",http://www.metrooysterbar.com/,Restaurant,Oyster
Herringbone Restaurant,4.9,54,264.6,"72-74 Halifax St, Adelaide SA 5000, Australia",https://www.herringbonerestaurant.com.au/,Restaurant,
Naaz on Pulteney (Persian Restaurant),4.7,56,263.2,"260 Pulteney St, Adelaide SA 5000, Australia",https://naaz-on-pulteney.business.site/?utm_source=gmb&utm_medium=referral,Restaurant,Persia
Plate and a Half,4.6,56,257.6,"6/34 Henley Beach Rd, Mile End SA 5031, Australia",http://plateandahalf.com.au/,Restaurant,Lebanon
Thai Ayo-Thaya Adelaide,4.6,53,243.8,"94 Carrington St, Adelaide SA 5000, Australia",https://thai-ayo-thaya-adelaide.business.site/,Restaurant,
Banh Mi - Vietnamese Rolls,4.7,51,239.7,"Grenfell Plaza, 2/25 Grenfell St, Adelaide SA 5000, Australia",http://www.banhmi.com.au/,Restaurant,Vietnam
Mr Panda Kitchen,4.7,49,230.3,"61 Wright St, Adelaide SA 5000, Australia",,Restaurant,Hotpot
Ben Hurs Charcoal Grill,4.8,45,216,"53 O'Connell St, North Adelaide SA 5006, Australia",http://benhurs.com.au/,Restaurant,Mediterranean
MiMi,4.9,44,215.6,"50 Sturt St, Adelaide SA 5000, Australia",https://mimi-restaurant.business.site/,Restaurant,
The Playford Restaurant,4.6,46,211.6,"120 North Terrace, Adelaide SA 5000, Australia",https://restaurants.accorhotels.com/gb/restaurant-8789_R001-the-playford-restaurant-adelaide.shtml,Restaurant,
Yumi # Donburi - Modern Japanese cafe,4.7,45,211.5,"231A Rundle St, Adelaide SA 5000, Australia",,Restaurant,
Zen Kitchen,4.5,45,202.5,"Renaissance Arcade, Shop 7/136 Rundle Mall, Adelaide SA 5000, Australia",https://www.facebook.com/zenkitchenadelaide/,Restaurant,Vietnam
Pan & Vine,4.8,40,192,"Shop 3/58 King William St, Kent Town SA 5067, Australia",https://www.panandvine.com/,Restaurant,Piizza
